date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
2018-01-24,-9141.809,4608.565,11886.9,3716.3467,-3171.359,-5943.8623,-15830.592,-6882.2593,-113.10099,-204.93526,10249.215,-2737.3926,1633.7068,2007.1451,1096.8608,-22890.01,-2394.865,-11813.568,2217.4226,-844.70703,9455.845,816.2335,-10937.72,3243.7727,10786.721,4300.7305,-1728.7052,-1824.0675,-2014.6863,-1129.477,1240.0463,-11708.751,7316.5913,4212.8545,955.92975,19804.133,323.1602,-10986.166,8419.908,-2173.5059,-3637.737,-10942.867,6144.876,-3157.381,2720.7263,157.88976,8336.287,10923.408,447.94858,-395.49734,12458.435,11482.775,5534.198,-719.0391,5948.274,-9713.372,10685.656,11417.651,-4327.5493,-13480.98,-2697.165,-874.5753,-3616.4893,-14596.647
2018-01-25,-10148.847,5117.211,13195.592,4126.9756,-3521.1357,-6598.8184,-17577.555,-7639.8843,-126.5878,-228.39047,11378.889,-3038.049,1815.3835,2228.9614,1218.3304,-25414.22,-2658.511,-13115.868,2462.1277,-938.2395,10496.973,905.8646,-12141.31,3601.9976,11975.916,4775.225,-1919.289,-2023.9661,-2237.6714,-1253.2335,1375.8246,-12999.052,8121.8604,4677.4272,1062.0803,21989.275,358.2746,-12197.22,9349.344,-2413.8774,-4039.1426,-12146.842,6823.368,-3506.3752,3018.3435,175.23987,9255.034,12127.458,496.20422,-440.2133,13832.287,12748.674,6143.4956,-797.21747,6603.878,-10784.007,11863.897,12676.886,-4803.163,-14968.585,-2994.2925,-970.5126,-4015.9746,-16207.397
2018-01-26,-11366.177,5840.2085,14655.603,4695.897,-3894.6353,-7427.87,-19739.643,-8395.035,-189.14357,-309.58966,12773.283,-3357.913,2069.2246,2525.834,1362.951,-28456.035,-2956.9146,-14752.885,2678.9116,-1082.2952,11673.879,1054.1573,-13390.537,4168.693,13416.515,5456.4307,-2204.5422,-2213.8928,-2516.102,-1347.524,1512.1815,-14480.292,9119.91,5178.827,1164.4221,24659.57,458.53983,-13611.276,10448.91,-2694.9763,-4540.1333,-13505.499,7683.3306,-3958.3335,3255.242,171.37183,10306.061,13522.025,530.67865,-613.67975,15410.092,14315.506,6823.228,-806.48785,7425.369,-12089.891,13314.108,14240.0625,-5272.7427,-16781.113,-3402.6873,-1080.5225,-4499.896,-18250.656
2018-01-27,-15753.47,8016.36,20396.29,6455.443,-5432.0503,-10268.187,-27322.578,-11749.518,-229.33778,-391.9512,17682.559,-4684.3716,2844.1733,3479.4795,1890.8315,-39446.48,-4113.2456,-20400.377,3770.4868,-1478.3815,16237.862,1434.8387,-18706.541,5681.487,18590.977,7486.2236,-3017.3691,-3103.8481,-3481.4841,-1905.1272,2117.2732,-20123.205,12620.979,7221.714,1632.6049,34156.43,594.63654,-18898.367,14497.758,-3740.7117,-6280.825,-18786.074,10621.24,-5465.1274,4599.5303,253.65869,14325.8125,18782.744,749.8441,-765.83966,21420.121,19812.92,9498.108,-1178.4413,10270.9375,-16744.305,18434.002,19706.766,-7381.5464,-23246.342,-4679.821,-1499.028,-6237.3086,-25224.588
2018-01-28,-11860.691,5993.375,15403.714,4830.7646,-4106.9487,-7716.3564,-20544.992,-8907.3955,-153.30229,-273.08615,13301.227,-3545.7048,2124.6777,2607.3074,1423.237,-29697.572,-3104.7932,-15334.536,2868.0527,-1100.2256,12257.105,1066.0903,-14164.05,4225.6675,13994.111,5594.7266,-2250.8806,-2358.5708,-2615.6309,-1456.586,1605.8999,-15178.777,9494.848,5458.8145,1237.4397,25698.229,427.0499,-14245.801,10920.167,-2817.538,-4721.4336,-14183.474,7978.369,-4100.8613,3513.5623,199.79045,10807.408,14162.635,576.04474,-529.9148,16154.539,14901.42,7172.993,-921.2295,7721.836,-12601.477,13867.034,14818.805,-5598.9663,-17491.43,-3504.6692,-1131.7576,-4693.3027,-18949.574
2018-01-29,-5833.0645,2930.5156,7592.2705,2364.4653,-2027.5756,-3789.67,-10097.95,-4404.0835,-68.938805,-127.14745,6536.8267,-1749.1234,1040.6371,1277.7698,700.02893,-14606.491,-1529.7738,-7530.755,1422.4937,-536.76526,6040.0317,518.1706,-6995.9727,2057.826,6881.1133,2735.0066,-1099.5593,-1166.2012,-1286.0834,-723.8196,794.32983,-7476.3735,4664.522,2693.732,612.4956,12634.403,202.02208,-7012.3247,5374.1,-1387.4948,-2319.4656,-6988.6274,3918.8325,-2013.0764,1745.9427,101.99998,5323.694,6973.953,285.74493,-242.5079,7958.9624,7322.371,3536.5732,-465.59692,3792.793,-6194.6514,6815.829,7281.4487,-2768.2651,-8599.695,-1716.3599,-556.54266,-2309.159,-9305.216
2018-01-30,-6759.0425,3419.0652,8780.605,2756.7314,-2341.7874,-4398.1084,-11713.415,-5075.2354,-88.38946,-156.62512,7582.2324,-2019.821,1212.9001,1488.4324,812.27936,-16928.324,-1768.7313,-8743.382,1632.5254,-627.5439,6984.3457,605.29364,-8068.3823,2411.1868,7978.715,3190.035,-1281.7029,-1345.1771,-1490.7299,-830.97784,912.14606,-8653.174,5412.5767,3110.0315,705.86084,14651.302,241.97281,-8122.6294,6227.6475,-1608.6206,-2692.6628,-8082.3955,4547.905,-2337.9932,1997.9766,115.83685,6160.1323,8074.1987,329.47064,-303.95285,9204.812,8496.334,4085.8237,-523.26434,4401.043,-7186.1543,7904.8726,8448.571,-3191.589,-9974.664,-1998.6042,-647.47955,-2674.1196,-10806.027
2018-01-31,-5289.3145,2669.2383,6878.5864,2152.7346,-1835.1156,-3439.4968,-9161.6045,-3980.712,-65.98405,-119.12594,5931.6235,-1583.7466,946.2117,1162.6616,635.37756,-13246.101,-1385.3451,-6838.4614,1281.5929,-489.03,5470.49,471.43085,-6325.9155,1879.1337,6243.1904,2490.0186,-999.94104,-1056.1527,-1165.4417,-653.92737,715.66724,-6775.728,4234.761,2436.7485,553.26843,11461.752,186.55502,-6358.831,4873.675,-1258.7507,-2105.931,-6331.244,3555.8347,-1827.3221,1571.5642,92.12413,4823.7197,6321.6353,260.02274,-230.70229,7206.5464,6646.3945,3200.6582,-414.71603,3442.373,-5622.959,6183.863,6608.2974,-2503.9954,-7803.46,-1561.4805,-507.4133,-2091.884,-8449.45
2018-02-01,-7982.622,4038.1992,10364.005,3255.3667,-2764.1606,-5194.8467,-13835.177,-5990.4126,-106.31936,-186.50066,8953.983,-2383.3623,1434.0028,1757.7317,958.9803,-19991.953,-2088.4539,-10323.918,1928.0908,-742.2625,8246.162,717.28064,-9524.79,2849.268,9420.885,3768.9626,-1515.9131,-1584.6971,-1762.0621,-977.92896,1078.246,-10215.654,6390.107,3672.7544,833.83655,17302.824,287.62872,-9588.536,7353.24,-1898.586,-3179.4778,-9540.875,5373.221,-2762.8364,2357.5647,134.6802,7272.9165,9532.319,385.89908,-360.8041,10872.576,10032.414,4825.2563,-616.26245,5197.6196,-8483.124,9335.942,9977.263,-3764.5986,-11777.942,-2360.1914,-762.10046,-3160.4192,-12761.809
2018-02-02,-9641.282,4885.2295,12508.384,3937.412,-3335.0293,-6277.281,-16715.82,-7223.776,-132.63937,-229.29103,10816.676,-2874.6707,1735.3158,2125.8325,1158.3861,-24147.742,-2520.6838,-12473.622,2323.7961,-899.00354,9953.16,869.32416,-11488.773,3451.1406,11379.1,4560.1123,-1834.5616,-1909.5977,-2129.7004,-1176.4777,1299.9078,-12332.805,7719.1577,4432.003,1006.0427,20902.549,350.90527,-11577.548,8880.707,-2293.0825,-3841.4487,-11515.174,6493.5947,-3339.5056,2837.4246,160.44191,8780.115,11508.557,463.481,-444.73373,13127.428,12120.03,5823.7163,-737.79297,6279.633,-10246.503,11278.808,12054.346,-4538.576,-14227.849,-2853.5918,-919.7798,-3817.9644,-15422.031
