date,v0,v1,v2,v3,v4,v5,v6,v7
2018-04-09,-7923.354,-3801.3347,-3590.2478,3025.6755,-257.70013,9947.881,1385.9667,-6745.592
2018-04-10,-11342.061,-5429.4414,-5127.0957,4334.2007,-359.292,14228.253,1977.5957,-9660.942
2018-04-11,-9937.853,-4757.7915,-4495.0537,3796.1802,-316.12592,12467.939,1734.3875,-8463.047
2018-04-12,-10482.696,-5028.635,-4750.5283,4002.3008,-340.98083,13160.996,1834.0409,-8923.849
2018-04-13,-9867.299,-4722.477,-4459.685,3770.8276,-311.87375,12377.294,1720.1064,-8404.986
2018-04-14,-10255.068,-4889.0645,-4617.237,3924.5432,-309.41306,12845.247,1778.9663,-8741.904
2018-04-15,-7966.7812,-3825.4368,-3615.4807,3039.456,-262.7178,10006.434,1396.5466,-6779.5303
2018-04-16,-4088.995,-1968.0121,-1861.5867,1557.5186,-139.09183,5140.8667,719.87646,-3476.7979
2018-04-17,-6962.1284,-3345.905,-3162.4692,2655.2046,-231.91139,8747.437,1221.9094,-5923.4194
2018-04-18,-8082.872,-3880.5208,-3669.0356,3082.7886,-266.67896,10152.121,1417.4598,-6877.423
2018-04-19,-8097.0054,-3869.2388,-3659.2412,3092.5786,-253.4751,10152.6,1411.9252,-6895.217
2018-04-20,-8236.703,-3934.2795,-3718.821,3146.1787,-255.92587,10325.706,1434.0114,-7016.056
2018-04-21,-11045.011,-5220.253,-4924.8677,4232.504,-297.30997,13790.558,1889.4509,-9434.037
2018-04-22,-12625.161,-6039.3027,-5699.5356,4823.4507,-395.76346,15833.225,2196.277,-10757.449
2018-04-23,-9234.018,-4416.232,-4167.301,3532.8984,-287.92093,11578.629,1606.5096,-7869.178
2018-04-24,-11794.7705,-5639.2607,-5324.5996,4508.2065,-368.20624,14789.467,2052.6394,-10049.312
2018-04-25,-12128.506,-5773.181,-5448.5464,4641.4956,-358.099,15182.686,2096.5225,-10344.271
2018-04-26,-11278.239,-5372.904,-5072.6924,4314.426,-337.1321,14123.123,1952.9628,-9616.172
2018-04-27,-11848.229,-5636.2676,-5315.1177,4536.32,-345.58713,14827.314,2043.5469,-10109.413
2018-04-28,-14930.262,-7055.656,-6638.8228,5723.0635,-395.31134,18636.588,2541.0364,-12764.872
2018-04-29,-15421.148,-7251.51,-6823.518,5919.995,-380.60547,19214.54,2607.6934,-13196.864
2018-04-30,-14702.255,-6964.611,-6564.4565,5649.474,-403.23227,18367.701,2521.962,-12558.621
2018-05-01,-14324.191,-6808.4478,-6420.0864,5488.901,-412.85077,17919.74,2468.2207,-12224.645
2018-05-02,-11606.193,-5537.9697,-5228.1997,4442.2183,-352.99872,14541.537,2014.6023,-9893.451
