date,v0,v1,v2,v3
2018-06-28,6505.9956,4489.1714,21685.266,-6257.7485
2018-06-29,6280.12,4347.0186,20961.805,-6046.8604
2018-06-30,6552.9863,4518.918,21839.965,-6302.952
2018-07-01,5621.7686,3873.3433,18730.14,-5406.0337
2018-07-02,4330.793,3017.108,14485.831,-4175.3057
2018-07-03,4783.963,3288.912,15920.705,-4596.1616
2018-07-04,4779.827,3282.2673,15898.929,-4590.4683
2018-07-05,5668.1416,3901.974,18871.213,-5447.0186
2018-07-06,6027.9775,4166.9106,20105.822,-5800.702
2018-07-07,6121.3525,4229.917,20415.268,-5890.268
2018-07-08,5478.443,3780.5303,18258.45,-5268.703
2018-07-09,4365.3335,3020.138,14566.629,-4202.2393
2018-07-10,5599.26,3873.8718,18678.402,-5388.1826
2018-07-11,5809.903,3999.291,19350.254,-5585.6323
2018-07-12,5727.3276,3938.6362,19068.643,-5504.9946
2018-07-13,5111.3286,3523.5037,17026.68,-4913.817
2018-07-14,6045.4004,4154.127,20120.16,-5809.0435
2018-07-15,5970.406,4114.19,19890.094,-5740.615
2018-07-16,4950.1934,3429.3035,16530.547,-4768.2017
2018-07-17,6181.285,4265.4424,20603.81,-5945.6265
2018-07-18,6052.9873,4173.2837,20170.043,-5821.0796
2018-07-19,5895.7725,4059.9775,19637.504,-5668.2236
2018-07-20,6563.025,4516.246,21857.02,-6309.5225
2018-07-21,6366.222,4391.033,21218.861,-6123.539
2018-07-22,6409.95,4408.543,21341.977,-6161.1997
2018-07-23,4732.828,3249.4666,15751.387,-4548.339
2018-07-24,6198.3784,4250.7485,20616.037,-5953.7188
2018-07-25,7552.1,5205.185,25167.947,-7263.97
2018-07-26,6432.0376,4407.171,21387.047,-6177.051
2018-07-27,6112.7,4198.6836,20343.285,-5873.8345
2018-07-28,6781.6562,4668.9556,22588.6,-6520.304
2018-07-29,5006.2983,3447.9753,16670.889,-4811.6523
2018-07-30,5391.303,3719.7441,17975.17,-5187.3955
2018-07-31,6113.6445,4218.7886,20376.502,-5879.951
2018-08-01,6488.958,4476.582,21629.473,-6241.883
2018-08-02,6425.4316,4416.3735,21390.014,-6175.605
2018-08-03,5645.5884,3882.7698,18796.695,-5426.4116
2018-08-04,5821.2383,3988.801,19353.947,-5589.731
2018-08-05,6016.626,4138.261,20029.46,-5782.121
2018-08-06,5410.933,3727.5254,18031.475,-5204.6616
2018-08-07,7147.7188,4904.9434,23783.674,-6868.1455
2018-08-08,6452.144,4414.2554,21449.354,-6196.4688
2018-08-09,6734.147,4616.4995,22395.645,-6467.9624
2018-08-10,6929.681,4736.942,23029.285,-6653.5596
2018-08-11,7194.7544,4945.522,23958.771,-6917.4536
2018-08-12,6954.0522,4801.052,23190.773,-6692.0166
2018-08-13,5278.4106,3613.1155,17553.713,-5070.8623
2018-08-14,7247.586,4953.9272,24086.61,-6959.1787
2018-08-15,7031.2266,4800.9487,23358.732,-6749.724
2018-08-16,7090.7817,4851.2695,23572.133,-6809.6836
2018-08-17,6805.9683,4636.0703,22590.607,-6529.6377
2018-08-18,5977.3984,4078.8923,19848.824,-5735.749
2018-08-19,6618.528,4544.289,22026.111,-6360.139
2018-08-20,5368.553,3703.3496,17902.195,-5166.619
2018-08-21,6764.027,4644.2847,22507.402,-6498.979
2018-08-22,6922.248,4752.7295,23035.965,-6651.728
2018-08-23,6809.264,4687.128,22678.734,-6546.4517
2018-08-24,6711.3486,4616.183,22347.104,-6451.3506
2018-08-25,5549.6475,3799.7222,18445.338,-5327.8013
2018-08-26,6890.5786,4754.323,22975.19,-6630.349
2018-08-27,5591.9536,3858.7852,18648.824,-5381.8433
2018-08-28,6531.7256,4523.7886,21804.182,-6289.339
2018-08-29,5925.0776,4070.8037,19716.799,-5692.6265
2018-08-30,7151.2397,4935.1357,23843.422,-6880.643
2018-08-31,5738.837,3950.2961,19110.645,-5516.3696
2018-09-01,5606.445,3856.0098,18662.572,-5387.5024
2018-09-02,6220.9023,4293.566,20736.008,-5983.5923
2018-09-03,5520.6772,3821.1956,18432.582,-5317.514
2018-09-04,7210.955,4978.4053,24044.133,-6938.1343
2018-09-05,6129.493,4215.7886,20405.049,-5890.5674
2018-09-06,7018.767,4808.9204,23340.396,-6741.385
2018-09-07,6690.873,4611.949,22299.059,-6435.9175
2018-09-08,7092.415,4894.168,23647.582,-6824.231
2018-09-09,6839.2793,4705.146,22775.703,-6574.9565
2018-09-10,5218.1846,3591.5664,17383.014,-5018.0054
2018-09-11,6387.666,4392.2593,21263.27,-6138.5312
2018-09-12,6326.648,4373.2607,21105.398,-6089.247
2018-09-13,5931.424,4088.8435,19765.586,-5704.526
2018-09-14,6051.139,4179.04,20179.684,-5822.8037
2018-09-15,6643.339,4568.7446,22121.176,-6386.303
2018-09-16,5453.286,3759.8994,18171.477,-5244.2646
2018-09-17,5212.3184,3596.5112,17381.541,-5016.1445
2018-09-18,6571.025,4523.0674,21882.465,-6316.505
2018-09-19,6339.1387,4360.172,21108.283,-6093.7397
2018-09-20,5972.5444,4096.4946,19866.799,-5737.276
2018-09-21,6549.303,4510.4873,21812.799,-6295.934
2018-09-22,6771.6597,4625.033,22495.514,-6499.935
2018-09-23,6983.788,4813.9507,23273.535,-6717.0767
2018-09-24,4871.528,3360.0454,16241.819,-4687.4175
2018-09-25,6129.2656,4235.2847,20440.744,-5897.604
2018-09-26,5452.388,3762.1855,18173.225,-5244.26
2018-09-27,4521.8574,3101.2449,15035.467,-4341.878
2018-09-28,4328.8813,2980.7124,14413.439,-4160.1973
2018-09-29,6407.597,4397.7886,21319.168,-6156.2124
2018-09-30,6422.3374,4434.4517,21412.672,-6178.613
2018-10-01,4470.325,3098.0586,14927.978,-4305.655
2018-10-02,5883.9355,4065.2864,19619.031,-5660.495
2018-10-03,5444.544,3767.5042,18164.488,-5239.8613
2018-10-04,5401.7007,3738.1326,18024.83,-5199.637
2018-10-05,5376.043,3672.0774,17852.97,-5158.1997
2018-10-06,6665.9233,4579.0513,22185.559,-6405.7173
2018-10-07,3542.1797,2465.2031,11837.062,-3412.0037
2018-10-08,3155.5942,2185.6921,10534.002,-3038.4556
2018-10-09,5669.629,3918.7856,18907.195,-5454.8516
2018-10-10,5893.334,4071.431,19648.191,-5668.9087
2018-10-11,5950.1187,4110.614,19840.068,-5724.379
2018-10-12,6226.6274,4281.065,20729.16,-5984.5264
2018-10-13,6170.3135,4188.951,20452.74,-5913.9897
2018-10-14,6650.393,4587.8228,22168.865,-6397.6265
2018-10-15,4037.339,2798.966,13479.451,-3887.5198
2018-10-16,5800.24,3998.161,19325.213,-5577.3643
2018-10-17,5745.1094,3970.9714,19158.352,-5527.2876
2018-10-18,6035.3477,4164.6006,20114.943,-5804.4907
2018-10-19,5091.434,3510.143,16963.273,-4895.5464
2018-10-20,6977.6636,4753.21,23158.959,-6693.8096
2018-10-21,6594.2573,4559.221,21998.342,-6346.6504
2018-10-22,4384.7686,3043.865,14649.426,-4224.377
