cluster,4_movements,counter
0,"[49, 61, 76, 42]",0.0010943736320329599
0,"[49, 61, 58, 63]",0.0010943736320329599
0,"[61, 71, 52, 202]",0.0010943736320329599
0,"[49, 71, 58, 59]",0.0010299987125016094
0,"[49, 52, 58, 54]",0.0010299987125016094
0,"[49, 71, 76, 201]",0.0010299987125016094
0,"[71, 52, 63, 54]",0.0009656237929702588
0,"[49, 71, 58, 42]",0.0009656237929702588
0,"[49, 61, 75, 59]",0.0009656237929702588
0,"[49, 61, 63, 202]",0.0009656237929702588
0,"[49, 58, 42, 59]",0.0009656237929702588
0,"[61, 71, 54, 42]",0.0009656237929702588
0,"[61, 52, 54, 42]",0.0009656237929702588
0,"[61, 71, 54, 202]",0.0009656237929702588
0,"[49, 71, 202, 59]",0.0009012488734389082
0,"[49, 52, 42, 202]",0.0008368739539075576
0,"[49, 61, 75, 201]",0.0008368739539075576
0,"[49, 71, 75, 42]",0.0008368739539075576
0,"[49, 71, 71, 52]",0.0008368739539075576
0,"[61, 52, 58, 54]",0.0008368739539075576
0,"[49, 71, 201, 62]",0.0008368739539075576
0,"[61, 71, 202, 59]",0.0008368739539075576
0,"[49, 71, 76, 62]",0.0008368739539075576
0,"[49, 52, 63, 42]",0.000772499034376207
0,"[49, 71, 42, 202]",0.000772499034376207
0,"[49, 71, 75, 63]",0.000772499034376207
0,"[61, 71, 58, 54]",0.000772499034376207
0,"[49, 71, 58, 62]",0.0007081241148448565
0,"[49, 71, 58, 63]",0.0007081241148448565
0,"[71, 52, 58, 62]",0.0007081241148448565
0,"[61, 71, 58, 63]",0.0007081241148448565
0,"[49, 71, 54, 202]",0.0007081241148448565
0,"[49, 61, 76, 62]",0.0007081241148448565
0,"[61, 71, 62, 54]",0.0007081241148448565
0,"[49, 52, 58, 62]",0.0007081241148448565
0,"[61, 71, 58, 62]",0.0007081241148448565
0,"[49, 71, 52, 52]",0.0006437491953135058
0,"[49, 52, 75, 63]",0.0006437491953135058
0,"[49, 52, 75, 54]",0.0006437491953135058
0,"[71, 52, 75, 201]",0.0006437491953135058
0,"[49, 61, 61, 52]",0.0006437491953135058
0,"[61, 71, 63, 54]",0.0006437491953135058
0,"[49, 61, 76, 63]",0.0006437491953135058
0,"[61, 71, 63, 42]",0.0006437491953135058
0,"[49, 71, 76, 42]",0.0005793742757821553
0,"[71, 62, 63, 54]",0.0005793742757821553
0,"[49, 71, 76, 63]",0.0005793742757821553
0,"[49, 71, 75, 54]",0.0005793742757821553
0,"[71, 52, 54, 59]",0.0005793742757821553
0,"[61, 71, 75, 62]",0.0005793742757821553
0,"[71, 52, 42, 59]",0.0005793742757821553
0,"[49, 62, 54, 59]",0.0005149993562508047
0,"[49, 71, 52, 202]",0.0005149993562508047
0,"[61, 71, 42, 202]",0.0005149993562508047
0,"[52, 54, 42, 59]",0.0005149993562508047
0,"[49, 61, 201, 202]",0.0005149993562508047
0,"[49, 61, 201, 59]",0.0005149993562508047
0,"[61, 52, 42, 59]",0.0005149993562508047
0,"[61, 71, 76, 202]",0.0005149993562508047
0,"[71, 52, 75, 54]",0.0005149993562508047
0,"[71, 52, 75, 42]",0.0005149993562508047
0,"[61, 71, 63, 59]",0.0005149993562508047
0,"[61, 52, 58, 62]",0.0005149993562508047
0,"[61, 71, 75, 63]",0.0005149993562508047
0,"[49, 52, 62, 202]",0.0005149993562508047
0,"[49, 71, 75, 59]",0.0005149993562508047
0,"[49, 71, 75, 76]",0.0005149993562508047
0,"[61, 71, 75, 76]",0.0005149993562508047
0,"[61, 71, 58, 42]",0.0005149993562508047
0,"[49, 61, 61, 59]",0.0004506244367194541
0,"[61, 54, 42, 202]",0.0004506244367194541
0,"[49, 61, 76, 59]",0.0004506244367194541
0,"[71, 52, 62, 42]",0.0004506244367194541
0,"[49, 52, 75, 59]",0.0004506244367194541
0,"[61, 62, 54, 202]",0.0004506244367194541
0,"[49, 52, 75, 76]",0.0004506244367194541
0,"[61, 71, 52, 59]",0.0004506244367194541
0,"[71, 58, 54, 59]",0.0004506244367194541
0,"[49, 62, 54, 202]",0.0004506244367194541
0,"[71, 52, 75, 58]",0.0004506244367194541
0,"[49, 49, 61, 59]",0.0003862495171881035
0,"[49, 61, 75, 63]",0.0003862495171881035
0,"[49, 61, 61, 54]",0.0003862495171881035
0,"[49, 71, 76, 54]",0.0003862495171881035
0,"[71, 52, 63, 59]",0.0003862495171881035
0,"[61, 54, 202, 59]",0.0003862495171881035
0,"[49, 49, 61, 42]",0.0003862495171881035
0,"[49, 63, 54, 59]",0.0003862495171881035
0,"[49, 61, 75, 202]",0.0003862495171881035
0,"[49, 61, 201, 54]",0.0003862495171881035
0,"[61, 71, 76, 201]",0.0003862495171881035
0,"[61, 71, 201, 62]",0.0003862495171881035
0,"[61, 52, 75, 62]",0.0003862495171881035
0,"[61, 71, 75, 58]",0.0003862495171881035
0,"[49, 71, 76, 58]",0.0003862495171881035
0,"[49, 52, 201, 58]",0.0003862495171881035
0,"[71, 52, 201, 58]",0.0003862495171881035
0,"[49, 61, 75, 76]",0.0003862495171881035
0,"[61, 52, 63, 54]",0.0003862495171881035
0,"[49, 62, 63, 54]",0.0003218745976567529
0,"[49, 49, 61, 58]",0.0003218745976567529
0,"[61, 71, 58, 59]",0.0003218745976567529
0,"[49, 61, 61, 42]",0.0003218745976567529
0,"[49, 52, 75, 42]",0.0003218745976567529
0,"[49, 49, 71, 52]",0.0003218745976567529
0,"[49, 62, 54, 42]",0.0003218745976567529
0,"[76, 62, 63, 54]",0.0003218745976567529
0,"[61, 71, 76, 62]",0.0003218745976567529
0,"[49, 49, 61, 61]",0.0003218745976567529
0,"[49, 76, 54, 42]",0.0003218745976567529
0,"[71, 58, 62, 42]",0.0003218745976567529
0,"[49, 52, 76, 63]",0.0003218745976567529
0,"[49, 52, 62, 59]",0.0003218745976567529
0,"[49, 58, 54, 42]",0.0003218745976567529
0,"[71, 52, 58, 54]",0.0003218745976567529
0,"[61, 52, 63, 42]",0.0003218745976567529
0,"[49, 75, 42, 59]",0.00025749967812540236
0,"[52, 62, 54, 42]",0.00025749967812540236
0,"[71, 58, 63, 54]",0.00025749967812540236
0,"[61, 71, 52, 52]",0.00025749967812540236
0,"[49, 52, 202, 59]",0.00025749967812540236
0,"[49, 52, 63, 202]",0.00025749967812540236
0,"[49, 49, 201, 202]",0.00025749967812540236
0,"[49, 52, 63, 59]",0.00025749967812540236
0,"[49, 49, 52, 59]",0.00025749967812540236
0,"[49, 61, 52, 52]",0.00025749967812540236
0,"[49, 71, 201, 42]",0.00025749967812540236
0,"[61, 61, 71, 52]",0.00025749967812540236
0,"[61, 52, 54, 202]",0.00025749967812540236
0,"[61, 201, 62, 54]",0.00025749967812540236
0,"[61, 71, 201, 42]",0.00025749967812540236
0,"[49, 49, 52, 54]",0.00025749967812540236
0,"[49, 61, 201, 42]",0.00025749967812540236
0,"[49, 52, 76, 58]",0.00025749967812540236
0,"[49, 75, 62, 63]",0.00025749967812540236
0,"[71, 75, 63, 42]",0.00025749967812540236
0,"[49, 52, 201, 63]",0.00025749967812540236
0,"[49, 58, 54, 59]",0.00025749967812540236
0,"[49, 52, 76, 62]",0.00025749967812540236
0,"[49, 49, 61, 54]",0.00025749967812540236
0,"[61, 62, 202, 59]",0.00025749967812540236
0,"[71, 52, 75, 76]",0.00025749967812540236
0,"[49, 61, 61, 58]",0.00025749967812540236
0,"[49, 76, 58, 62]",0.00025749967812540236
0,"[71, 52, 75, 63]",0.00025749967812540236
0,"[49, 201, 202, 59]",0.00025749967812540236
0,"[49, 61, 76, 201]",0.00025749967812540236
0,"[71, 62, 42, 59]",0.00025749967812540236
0,"[52, 75, 62, 63]",0.00019312475859405175
0,"[49, 71, 76, 59]",0.00019312475859405175
0,"[49, 52, 58, 59]",0.00019312475859405175
0,"[49, 71, 75, 201]",0.00019312475859405175
0,"[49, 61, 61, 61]",0.00019312475859405175
0,"[49, 49, 49, 61]",0.00019312475859405175
0,"[61, 52, 202, 59]",0.00019312475859405175
0,"[49, 71, 201, 54]",0.00019312475859405175
0,"[71, 62, 54, 42]",0.00019312475859405175
0,"[49, 52, 76, 54]",0.00019312475859405175
0,"[49, 71, 201, 202]",0.00019312475859405175
0,"[71, 52, 201, 62]",0.00019312475859405175
0,"[49, 76, 62, 63]",0.00019312475859405175
0,"[61, 63, 54, 202]",0.00019312475859405175
0,"[71, 63, 54, 42]",0.00019312475859405175
0,"[71, 52, 76, 62]",0.00019312475859405175
0,"[49, 52, 54, 202]",0.00019312475859405175
