date,v0,v1,v2,v3
2018-08-12,-2239.8667,9166.432,-197.6935,-3238.7344
2018-08-13,-1704.1453,6964.33,-150.55731,-2460.5166
2018-08-14,-2326.8958,9543.454,-207.81288,-3379.752
2018-08-15,-2253.904,9257.363,-199.2242,-3277.541
2018-08-16,-2277.8777,9341.26,-200.9236,-3302.4844
2018-08-17,-2184.7341,8964.198,-193.06735,-3169.6074
2018-08-18,-1919.4714,7869.491,-171.73134,-2781.8682
2018-08-19,-2126.3394,8715.488,-189.28735,-3081.3083
2018-08-20,-1733.8817,7084.0396,-152.62535,-2503.4316
2018-08-21,-2172.829,8904.489,-194.32196,-3146.2637
2018-08-22,-2227.229,9119.127,-198.03949,-3220.0708
2018-08-23,-2188.4595,8965.918,-195.204,-3167.8752
2018-08-24,-2158.514,8838.544,-192.92398,-3122.8735
2018-08-25,-1779.6027,7301.3584,-159.14606,-2577.8103
2018-08-26,-2216.548,9079.767,-195.8605,-3211.881
2018-08-27,-1805.7358,7378.056,-159.08774,-2607.181
2018-08-28,-2102.433,8606.324,-185.9626,-3040.553
2018-08-29,-1900.9304,7794.9844,-170.81265,-2753.704
2018-08-30,-2299.9612,9420.7,-204.08063,-3331.4155
2018-08-31,-1843.7878,7553.2275,-165.57796,-2667.771
2018-09-01,-1798.9658,7375.6904,-161.57896,-2604.3599
2018-09-02,-1998.6206,8188.7397,-178.52327,-2891.9001
2018-09-03,-1783.8785,7286.552,-156.48633,-2575.5986
2018-09-04,-2319.5059,9497.793,-206.78857,-3358.129
2018-09-05,-1968.3389,8066.54,-176.389,-2847.9626
2018-09-06,-2256.811,9243.557,-201.92285,-3267.3962
2018-09-07,-2156.5833,8819.7,-191.26637,-3114.5928
2018-09-08,-2281.1877,9343.736,-202.43605,-3305.2625
2018-09-09,-2197.4858,9007.739,-194.00014,-3180.8113
2018-09-10,-1682.9747,6880.0635,-149.37921,-2429.9746
2018-09-11,-2052.3518,8407.218,-184.44885,-2969.1548
2018-09-12,-2037.2474,8336.612,-180.82945,-2945.6204
2018-09-13,-1909.8835,7814.407,-170.06352,-2758.6133
2018-09-14,-1948.9465,7974.5156,-172.58464,-2816.0251
2018-09-15,-2134.0935,8749.633,-188.29683,-3090.5469
2018-09-16,-1753.2249,7179.7705,-156.86472,-2535.8115
2018-09-17,-1682.7576,6876.212,-148.44887,-2429.6282
2018-09-18,-2112.28,8650.927,-188.94928,-3053.9966
2018-09-19,-2039.9851,8350.465,-181.85205,-2949.2395
2018-09-20,-1919.2092,7863.9385,-171.29726,-2777.705
2018-09-21,-2104.7063,8620.706,-188.5686,-3042.837
2018-09-22,-2168.4102,8910.895,-192.44188,-3154.5989
