date,v0,v1,v2,v3,v4,v5,v6,v7
2018-05-10,18168.129,7243.4873,-32288.428,5766.616,7658.2534,-22048.408,-525.00507,25611.13
2018-05-11,16882.053,6716.341,-29941.482,5385.3076,7082.53,-20502.82,-460.48297,23777.719
2018-05-12,19897.34,7923.5264,-35318.895,6333.7534,8362.626,-24157.496,-556.31775,28035.422
2018-05-13,18775.213,7494.11,-33402.562,5943.635,7932.9077,-22776.443,-558.45636,26479.123
2018-05-14,12810.733,5115.141,-22798.9,4052.4927,5417.186,-15539.433,-383.71298,18069.865
2018-05-15,15303.908,6113.704,-27246.95,4837.7407,6477.4155,-18563.307,-459.9011,21591.477
2018-05-16,16760.521,6690.1714,-29819.768,5305.634,7082.8804,-20332.502,-498.36298,23638.18
2018-05-17,14450.952,5772.7563,-25730.312,4566.935,6118.2935,-17527.14,-436.39468,20387.541
2018-05-18,15069.669,6010.118,-26790.893,4779.6924,6357.6216,-18286.492,-438.5688,21246.217
2018-05-19,18600.65,7400.9,-32988.586,5932.665,7800.9155,-22589.492,-508.73715,26199.316
2018-05-20,19014.63,7581.918,-33795.95,6034.379,8016.692,-23075.746,-549.7207,26805.94
2018-05-21,10759.488,4291.0723,-19131.227,3413.7117,4543.033,-13058.069,-310.0103,15169.943
2018-05-22,14476.975,5782.411,-25773.785,4576.5376,6127.902,-17559.512,-435.69806,20423.223
2018-05-23,14224.954,5675.619,-25299.668,4507.717,6007.371,-17259.549,-417.5582,20058.84
2018-05-24,13959.146,5567.0464,-24816.768,4428.6,5890.047,-16940.324,-403.93478,19680.62
2018-05-25,16071.115,6407.3286,-28559.129,5101.6763,6772.06,-19504.014,-463.78433,22654.86
2018-05-26,18128.693,7218.2334,-32178.113,5772.1045,7619.8687,-22010.902,-505.22632,25542.078
2018-05-27,16703.623,6658.9185,-29682.994,5303.3853,7039.7017,-20272.32,-480.62186,23545.795
2018-05-28,11655.507,4652.421,-20737.014,3689.6475,4925.4854,-14139.531,-346.53885,16438.295
2018-05-29,17892.273,7135.744,-31809.258,5675.3286,7549.0947,-21712.096,-519.8846,25225.707
2018-05-30,14222.469,5673.6895,-25291.879,4508.75,6004.837,-17257.695,-415.3792,20054.076
2018-05-31,14357.191,5727.192,-25529.723,4551.662,6060.2803,-17420.992,-419.5848,20243.555
2018-06-01,18414.285,7340.2603,-32716.662,5848.9165,7755.8496,-22350.35,-527.03516,25956.404
2018-06-02,20134.998,8001.3154,-35663.625,6443.4897,8418.521,-24466.646,-526.9059,28346.715
2018-06-03,16728.57,6672.756,-29739.2,5305.944,7055.0547,-20300.5,-486.0013,23586.717
2018-06-04,9372.98,3747.6755,-16702.121,2955.7764,3974.9446,-11364.485,-289.8566,13228.263
2018-06-05,14185.003,5660.9297,-25233.104,4492.6255,5992.4663,-17209.518,-419.2048,20004.184
2018-06-06,14190.442,5665.4946,-25253.416,4490.3364,6001.0415,-17214.283,-422.81042,20015.438
