DATE,CLUSTER,HOLIDAY
2017-12-01,3,NO
2017-12-02,3,NO
2017-12-03,1,YES
2017-12-04,1,NO
2017-12-05,1,NO
2017-12-06,1,NO
2017-12-07,3,NO
2017-12-08,2,YES
2017-12-09,2,NO
2017-12-10,3,YES
2017-12-11,1,NO
2017-12-12,1,NO
2017-12-13,1,NO
2017-12-14,1,NO
2017-12-15,3,NO
2017-12-16,3,NO
2017-12-17,3,YES
2017-12-18,1,NO
2017-12-19,1,NO
2017-12-20,1,NO
2017-12-21,1,NO
2017-12-22,1,NO
2017-12-23,3,NO
2017-12-24,1,YES
2017-12-26,3,YES
2017-12-27,0,NO
2017-12-28,0,NO
2017-12-29,2,NO
2017-12-30,2,NO
