cluster,3_movements,rel_weight
2,"[75, 58, 54]",2.9264152875934625e-05
2,"[52, 76, 202]",2.9264152875934625e-05
2,"[75, 62, 42]",2.9264152875934625e-05
2,"[61, 201, 54]",2.9264152875934625e-05
2,"[52, 75, 201]",2.9264152875934625e-05
2,"[62, 54, 202]",2.9264152875934625e-05
2,"[71, 201, 54]",2.9264152875934625e-05
2,"[75, 76, 62]",2.9264152875934625e-05
2,"[71, 75, 201]",2.9264152875934625e-05
2,"[61, 61, 75]",2.9264152875934625e-05
2,"[42, 202, 59]",2.9264152875934625e-05
2,"[201, 62, 54]",2.9264152875934625e-05
2,"[58, 63, 42]",2.9264152875934625e-05
2,"[75, 63, 54]",2.9264152875934625e-05
2,"[76, 54, 202]",2.9264152875934625e-05
2,"[52, 201, 54]",2.9264152875934625e-05
2,"[76, 58, 62]",2.9264152875934625e-05
2,"[71, 71, 54]",2.9264152875934625e-05
2,"[71, 202, 59]",2.9264152875934625e-05
2,"[52, 76, 42]",2.9264152875934625e-05
2,"[61, 76, 59]",2.9264152875934625e-05
2,"[71, 201, 63]",2.9264152875934625e-05
2,"[71, 58, 58]",2.9264152875934625e-05
2,"[71, 71, 58]",2.9264152875934625e-05
2,"[54, 54, 202]",2.9264152875934625e-05
2,"[49, 49, 59]",2.9264152875934625e-05
2,"[52, 75, 76]",1.4632076437967312e-05
2,"[76, 63, 54]",1.4632076437967312e-05
2,"[61, 54, 54]",1.4632076437967312e-05
2,"[201, 42, 59]",1.4632076437967312e-05
2,"[76, 62, 63]",1.4632076437967312e-05
2,"[49, 49, 201]",1.4632076437967312e-05
2,"[75, 42, 59]",1.4632076437967312e-05
2,"[201, 63, 42]",1.4632076437967312e-05
2,"[76, 201, 62]",1.4632076437967312e-05
2,"[61, 61, 61]",1.4632076437967312e-05
2,"[71, 54, 202]",1.4632076437967312e-05
2,"[75, 58, 63]",1.4632076437967312e-05
2,"[54, 54, 59]",1.4632076437967312e-05
2,"[52, 62, 42]",1.4632076437967312e-05
2,"[49, 59, 59]",1.4632076437967312e-05
2,"[62, 42, 59]",1.4632076437967312e-05
2,"[201, 62, 42]",1.4632076437967312e-05
2,"[49, 49, 62]",1.4632076437967312e-05
2,"[61, 75, 75]",1.4632076437967312e-05
2,"[71, 62, 59]",1.4632076437967312e-05
2,"[52, 54, 54]",1.4632076437967312e-05
2,"[71, 59, 59]",1.4632076437967312e-05
2,"[75, 62, 62]",1.4632076437967312e-05
2,"[71, 54, 54]",1.4632076437967312e-05
2,"[49, 49, 202]",1.4632076437967312e-05
2,"[58, 62, 42]",1.4632076437967312e-05
2,"[52, 76, 59]",1.4632076437967312e-05
2,"[49, 76, 76]",1.4632076437967312e-05
2,"[71, 76, 202]",1.4632076437967312e-05
2,"[49, 202, 202]",1.4632076437967312e-05
2,"[201, 54, 59]",1.4632076437967312e-05
2,"[201, 42, 202]",1.4632076437967312e-05
