poi_id_1,poi_id_2,distance
74,44,1274.346
74,110,973.4960000000001
74,72,840.5829999999999
74,53,987.782
74,56,840.5829999999999
74,57,786.165
74,58,828.0229999999999
74,59,819.4569999999999
74,60,891.211
74,46,526.3349999999999
74,47,389.946
74,55,791.604
74,43,1724.449
74,49,1095.693
74,75,418.555
74,100,2275.0179999999996
74,101,2734.039
74,102,2566.1249999999995
74,50,1789.977
74,201,685.1879999999999
74,200,301.30600000000004
74,42,389.946
74,45,620.4929999999999
74,202,1563.794
74,71,1765.0720000000001
74,61,759.9449999999999
74,76,1424.1640000000002
74,203,813.123
51,54,829.7769999999999
51,52,897.239
51,70,915.448
51,74,1455.9540000000004
51,73,1142.68
51,63,1408.4170000000001
51,62,1130.8369999999998
51,79,746.9359999999999
51,48,874.0939999999998
51,77,324.442
51,78,712.56
51,44,181.608
51,110,494.90999999999997
51,72,636.1929999999999
51,53,855.561
51,56,636.1929999999999
51,57,690.8199999999999
51,58,638.5079999999999
51,59,675.3309999999999
51,60,627.3529999999998
51,46,1212.6150000000002
51,47,1400.471
51,55,744.906
51,43,268.495
51,49,456.11100000000005
51,75,1659.6810000000003
51,100,1266.3570000000002
51,101,1491.4390000000003
51,102,1174.7859999999998
51,50,354.384
51,201,1243.3129999999999
51,200,1614.1700000000003
51,42,1400.471
51,45,861.5359999999998
51,202,1118.681
51,71,329.47900000000004
51,61,704.1639999999999
51,76,402.1170000000001
51,203,653.4079999999999
73,54,878.9269999999999
73,52,656.1300000000001
73,70,1973.0660000000003
73,74,949.002
73,51,1142.68
73,63,1807.7269999999999
73,62,1527.2610000000004
73,79,949.509
73,48,1261.6200000000001
73,77,1402.9099999999999
73,78,921.9970000000001
73,44,1012.8520000000001
73,110,855.4760000000001
73,72,838.951
73,53,556.4870000000001
73,56,838.951
73,57,902.258
73,58,899.6300000000001
73,59,936.453
73,60,886.5999999999999
73,46,429.19999999999993
73,47,607.42
73,55,954.3430000000001
73,43,1381.7649999999999
73,49,1376.2379999999998
73,75,1284.44
73,100,2350.1839999999993
73,101,1859.6930000000002
73,102,2234.132
73,50,1462.1239999999998
73,201,1589.5040000000004
73,200,935.403
73,42,607.42
73,45,1076.3400000000001
73,202,2104.944
73,71,1437.219
73,61,1075.373
73,76,1492.2089999999998
73,203,914.53
63,54,2136.504000000001
63,52,1894.6660000000004
63,70,823.1399999999998
63,74,2682.0730000000003
63,51,1408.4169999999997
63,73,1807.7270000000005
63,62,2340.7849999999994
63,79,2055.5380000000005
63,48,2184.084
63,77,1499.936
63,78,2021.1620000000003
63,44,1493.7640000000004
63,110,1801.6370000000006
63,72,1942.9200000000005
63,53,1795.0230000000004
63,56,1942.9200000000005
63,57,1999.4220000000005
63,58,1947.1100000000006
63,59,1983.9330000000004
63,60,1934.0800000000004
63,46,2155.7380000000007
63,47,2343.594000000001
63,55,2053.5080000000003
63,43,1248.5319999999995
63,49,1716.5509999999992
63,75,2971.8369999999995
63,100,1734.2199999999996
63,101,265.04300000000006
63,102,1055.6629999999998
63,50,1138.847
63,201,2453.2609999999995
63,200,2671.577
63,42,2343.594000000001
63,45,2173.692
63,202,2164.443999999999
63,71,1113.9420000000002
63,61,2016.3200000000002
63,76,1404.9359999999995
63,203,1962.0100000000002
62,54,794.014
62,52,1050.783
62,70,1846.487
62,74,802.8250000000002
62,51,1130.837
62,73,1527.261
62,63,2340.7850000000003
62,79,677.134
62,48,270.837
62,77,878.172
62,78,711.51
62,44,949.229
62,110,682.765
62,72,701.8499999999999
62,53,1112.0279999999998
62,56,701.8499999999999
62,57,691.3409999999999
62,58,662.853
62,59,627.3620000000001
62,60,716.2969999999999
62,46,1170.9529999999997
62,47,1073.0579999999998
62,55,743.856
62,43,1301.361
62,49,724.964
62,75,1006.552
62,100,1650.3480000000002
62,101,2423.8070000000002
62,102,2094.6659999999997
62,50,1318.5180000000003
62,201,289.942
62,200,1104.1309999999999
62,42,1073.0579999999998
62,45,572.745
62,202,935.7840000000001
62,71,1293.6130000000003
62,61,451.888
62,76,952.705
62,203,648.461
79,54,209.143
79,52,461.88
79,70,1662.3840000000002
79,74,724.8819999999998
79,51,746.9360000000001
79,73,949.509
79,63,2055.5380000000005
79,62,677.134
79,48,469.424
79,77,830.7570000000002
79,78,34.376
79,44,565.3280000000001
79,110,253.90099999999998
79,72,117.422
79,53,434.894
79,56,117.422
79,57,61.283
79,58,113.66
79,59,150.483
79,60,171.616
79,46,635.119
79,47,821.73
79,55,66.722
79,43,1015.4309999999999
79,49,712.2880000000001
79,75,928.6089999999999
79,100,1778.031
79,101,2107.5040000000004
79,102,1913.1380000000006
79,50,1101.32
79,201,785.1449999999999
79,200,883.098
79,42,821.73
79,45,126.831
79,202,1418.914
79,71,1076.415
79,61,308.81800000000004
79,76,920.056
79,203,128.56
48,54,647.6909999999999
48,52,900.428
48,70,1689.7859999999998
48,74,828.242
48,51,874.0939999999998
48,73,1261.6200000000001
48,63,2184.084
48,62,270.83700000000005
48,79,469.42400000000004
48,77,721.4709999999999
48,78,452.60699999999997
48,44,692.4859999999999
48,110,417.12399999999997
48,72,436.20899999999995
48,53,904.318
48,56,436.20899999999995
48,57,425.69999999999993
48,58,397.212
48,59,361.72099999999995
48,60,450.65599999999995
48,46,1034.219
48,47,936.324
48,55,484.953
48,43,1124.2999999999997
48,49,494.525
48,75,1031.9689999999998
48,100,1583.746
48,101,2238.216000000001
48,102,1937.9649999999997
48,50,1161.817
48,201,383.31300000000005
48,200,986.458
48,42,936.324
48,45,365.035
48,202,965.3639999999998
48,71,1136.912
48,61,186.247
48,76,796.0039999999999
48,203,382.82
77,54,1039.9
77,52,1130.8600000000001
77,70,1005.638
77,74,1327.7439999999997
77,51,324.44200000000006
77,73,1402.9099999999996
77,63,1499.936
77,62,878.1719999999999
77,79,830.757
77,48,721.4709999999999
77,78,796.3809999999999
77,44,406.16400000000004
77,110,719.4659999999998
77,72,779.3559999999998
77,53,1089.1820000000002
77,56,779.3559999999998
77,57,774.6409999999998
